$ APLOAD
$ Dimensions are Meters   and   KN
LOAD CASE LN02    
*J168L    9.5973E-01 -5.5094E+00  1.4294E+00 -1.2437E-04 -6.5888E-05 -6.3519E-04
*J171L    1.3896E+00 -8.0103E+00  1.8383E+00 -4.7510E-04  2.1483E-04  1.0300E-03
*J174L   -1.3899E+00 -8.0110E+00  1.8368E+00 -4.7477E-04 -2.1529E-04 -1.0300E-03
*J175L   -1.5570E+00 -7.8339E+00  1.9748E+00 -1.1580E-04  1.2503E-04  1.0300E-03
*J178L    1.5569E+00 -7.8326E+00  1.9736E+00 -1.1420E-04 -1.2474E-04 -1.0306E-03
*J181L   -7.5307E-04 -3.3041E+01  9.4024E+00  9.2677E-02 -2.3171E-03  5.8097E-04
*J184L   -7.5299E-04 -3.3042E+01  9.4021E+00  9.5728E-02 -2.3771E-03  3.7544E-04
*J185L    1.0777E-04 -3.3041E+01  9.3881E+00  1.7747E-01 -1.9152E-03  6.4962E-04
*J188L    1.0785E-04 -3.3042E+01  9.3878E+00  1.8056E-01 -2.0105E-03  2.4723E-04
*J201W   -5.7239E-05 -6.1808E+00  1.7577E+00  4.1398E-02 -8.4418E-04  1.9074E-04
*J202L   -6.3950E-04 -3.2139E+01  9.1459E+00  1.8071E-01 -4.5449E-03  1.0116E-03
*J202W   -5.1661E-05 -6.1808E+00  1.7577E+00  4.1927E-02 -8.4237E-04  1.8574E-04
*J203L   -6.3948E-04 -3.2139E+01  9.1458E+00  1.8132E-01 -4.5561E-03  9.7755E-04
*J203W   -4.6083E-05 -6.1807E+00  1.7576E+00  4.2484E-02 -8.3821E-04  1.9323E-04
*J204W   -4.0505E-05 -6.1807E+00  1.7575E+00  4.3032E-02 -8.3810E-04  1.8308E-04
*J211W   -5.7239E-05 -6.1808E+00  1.7577E+00  4.1421E-02 -8.4790E-04  1.7552E-04
*J212L   -5.5093E-04 -3.2136E+01  9.1453E+00  2.5967E-01 -6.5426E-03  1.4434E-03
*J212W   -5.1661E-05 -6.1808E+00  1.7577E+00  4.1946E-02 -8.4145E-04  1.9336E-04
*J213L   -5.5091E-04 -3.2136E+01  9.1452E+00  2.6029E-01 -6.5524E-03  1.4215E-03
*J213W   -4.6083E-05 -6.1808E+00  1.7576E+00  4.2516E-02 -8.3723E-04  1.9440E-04
*J214W   -4.0505E-05 -6.1808E+00  1.7575E+00  4.3088E-02 -8.3924E-04  1.8031E-04
*J221W   -5.7239E-05 -6.1808E+00  1.7577E+00  4.1409E-02 -8.5103E-04  1.6608E-04
*J222W   -5.1660E-05 -6.1808E+00  1.7577E+00  4.1946E-02 -8.4812E-04  1.6537E-04
*J223W   -4.6082E-05 -6.1808E+00  1.7576E+00  4.2512E-02 -8.4414E-04  1.7494E-04
*J224W   -4.0504E-05 -6.1808E+00  1.7575E+00  4.3068E-02 -8.3910E-04  1.8237E-04
*J301L   -1.7666E-04 -1.2277E+01  3.4939E+00  1.2891E-01 -3.2770E-03  6.5989E-04
*J301W   -3.7078E-05 -6.1797E+00  1.7578E+00  7.0438E-02 -1.6209E-03  3.5256E-04
