LOADCNLN02
LOAD   204W      0.0000-6.18071.757500.04303 -0.00080.00018 GLOB JOIN
LOAD   211W     -0.0001-6.18081.757700.04142 -0.00080.00018 GLOB JOIN
LOAD   212L     -0.0006-32.1369.145300.25967 -0.00650.00144 GLOB JOIN
LOAD   212W     -0.0001-6.18081.757700.04195 -0.00080.00019 GLOB JOIN
LOAD   213L     -0.0006-32.1369.145200.26029 -0.00660.00142 GLOB JOIN
LOAD   213W      0.0000-6.18081.757600.04252 -0.00080.00019 GLOB JOIN
LOAD   214W      0.0000-6.18081.757500.04309 -0.00080.00018 GLOB JOIN
LOAD   221W     -0.0001-6.18081.757700.04141 -0.00090.00017 GLOB JOIN
LOAD   222W     -0.0001-6.18081.757700.04195 -0.00080.00017 GLOB JOIN
LOAD   223W      0.0000-6.18081.757600.04251 -0.00080.00017 GLOB JOIN
LOAD   224W      0.0000-6.18081.757500.04307 -0.00080.00018 GLOB JOIN
LOAD   301L     -0.0002-12.2773.493900.12891 -0.00330.00066 GLOB JOIN
LOAD   301W      0.0000-6.17971.757800.07044 -0.00160.00035 GLOB JOIN
LOAD   302L     -0.0005-32.1339.144700.33859 -0.00860.00183 GLOB JOIN
LOAD   302W      0.0000-6.17971.757700.07099 -0.00160.00036 GLOB JOIN
LOAD   303L     -0.0005-32.1349.144600.33968 -0.00860.00184 GLOB JOIN
LOAD   303W      0.0000-6.17971.757600.07155 -0.00160.00034 GLOB JOIN
LOAD   304L     -0.0002-12.2773.493800.12997 -0.00330.00071 GLOB JOIN
LOAD   304W      0.0000-6.17971.757500.07207 -0.00160.00036 GLOB JOIN
LOAD   311W      0.0000-6.17971.757800.07042 -0.00160.00038 GLOB JOIN
LOAD   312L     -0.0004-32.1319.144200.41165 -0.01040.00226 GLOB JOIN
LOAD   312W      0.0000-6.17971.757700.07101 -0.00160.00035 GLOB JOIN
LOAD   313L     -0.0004-32.1319.144100.41242 -0.01040.00226 GLOB JOIN
LOAD   313W      0.0000-6.17971.757600.07154 -0.00160.00035 GLOB JOIN
LOAD   314W      0.0000-6.17971.757500.07209 -0.00160.00034 GLOB JOIN
LOAD   321W      0.0000-6.17971.757800.07046 -0.00160.00034 GLOB JOIN
LOAD   322W      0.0000-6.17971.757700.07102 -0.00160.00035 GLOB JOIN
LOAD   323W      0.0000-6.17971.757600.07159 -0.00160.00035 GLOB JOIN
LOAD   324W      0.0000-6.17971.757500.07212 -0.00160.00035 GLOB JOIN
LOAD   401W      0.0000-6.17871.757800.09729 -0.00230.00051 GLOB JOIN
LOAD   402L     -0.0003-32.1289.143600.48444 -0.01220.00265 GLOB JOIN
LOAD   402W      0.0000-6.17871.757700.09783 -0.00230.00051 GLOB JOIN
LOAD   403L     -0.0003-32.1289.143600.48541 -0.01230.00261 GLOB JOIN
LOAD   403W      0.0000-6.17871.757600.09836 -0.00230.00051 GLOB JOIN
